PhraseID,EN,IT,PT-BR,TR,ES-ES,SV,NL
QID120_Choice4,"I would feel comfortable wearing it, even knowing someone else has worn it",,,,,,
QID120_Choice5,"I would like to have it, even knowing someone else has worn it",,,,,,
QID121_QuestionText,"<p>What is the <b>highest price </b>you would be willing to pay for the <strong>second-hand sweater, as a percentage of its original price </strong>when it was new?</p>➘➘<p>&nbsp;</p>➘➘<p>Use the slider to indicate your response, where:</p>➘➘<ul>➘	<li><b>0</b> means you wouldn’t buy the second-hand product at any price.</li>➘	<li><b>100</b> means you would pay as much for the second-hand product as for the new product.&nbsp;</li>➘</ul>",,,,,,
QID121_Choice1,Percentage price (%),,,,,,
QID90_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_zmx5Q9UqXgW2EUN"" style=""width: 859px; height: 500px;"" width=""859"" />",,,,,,
QID91_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_9trXjGX1kONs3Yi"" style=""width: 828px; height: 500px;"" width=""828"" />",,,,,,
QID92_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_EesCByCy3ui0wTf"" style=""width: 926px; height: 500px;"" width=""926"" />",,,,,,
QID93_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_htKLFLVHixvAGtm"" style=""width: 845px; height: 500px;"" width=""845"" />",,,,,,
QID94_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_1vIbxMMFwtwq3wX"" style=""width: 827px; height: 500px;"" width=""827"" />",,,,,,
QID95_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_Gj2sd6uWozymYn8"" style=""width: 820px; height: 500px;"" width=""820"" />",,,,,,
QID96_QuestionText,"<p>The&nbsp;<strong>blazer</strong>&nbsp;in the picture is&nbsp;<strong>second-hand</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>Please, rate the product in the picture on the following dimensions, from 0 (not at all) to 100 (extremely).&nbsp;</p>➘➘<ul>➘</ul>",,,,,,
QID96_Choice1,Appealing,,,,,,
QID96_Choice3,Clean/hygienic,,,,,,
QID96_Choice4,"I would feel comfortable wearing it, even knowing someone else has worn it",,,,,,
QID96_Choice5,"I would like to have it, even knowing someone else has worn it",,,,,,
QID97_QuestionText,"<p>What is the <b>highest price </b>you would be willing to pay for the <strong>second-hand blazer, as a percentage of its original price </strong>when it was new?</p>➘➘<p>&nbsp;</p>➘➘<p>Use the slider to indicate your response, where:</p>➘➘<ul>➘	<li><b>0</b> means you wouldn&rsquo;t buy the second-hand product at any price.</li>➘	<li><b>100</b> means you would pay as much for the second-hand product as for the new product.&nbsp;</li>➘</ul>",,,,,,
QID97_Choice1,Percentage price (%),,,,,,
QID98_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_TFX7RUZxl5tYLWg"" style=""width: 445px; height: 500px;"" width=""445"" />",,,,,,
QID99_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_E0kghghznSKdkCe"" style=""width: 503px; height: 500px;"" width=""503"" />",,,,,,
QID100_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_ViXXy1kr4kDzR30"" style=""width: 506px; height: 500px;"" width=""506"" />",,,,,,
QID101_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_DfVpcdg3ijQGTrK"" style=""width: 401px; height: 500px;"" width=""401"" />",,,,,,
QID102_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_xcuQD8VnAMFHSnx"" style=""width: 457px; height: 500px;"" width=""457"" />",,,,,,
QID103_QuestionText,"<img height=""500"" src=""https://psychru.qualtrics.com/CP/Graphic.php?IM=IM_4fDdybLEAwpDIKY"" style=""width: 502px; height: 500px;"" width=""502"" />",,,,,,
QID104_QuestionText,"<p>The&nbsp;<strong>coat</strong>&nbsp;in the picture is&nbsp;<strong>second-hand</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>Please, rate the product in the picture on the following dimensions, from 0 (not at all) to 100 (extremely).&nbsp;</p>➘➘<ul>➘</ul>",,,,,,
QID104_Choice1,Appealing,,,,,,
QID104_Choice3,Clean/hygienic,,,,,,
QID104_Choice4,"I would feel comfortable wearing it, even knowing someone else has worn it",,,,,,
QID104_Choice5,"I would like to have it, even knowing someone else has worn it",,,,,,
QID105_QuestionText,"<p>What is the <b>highest price </b>you would be willing to pay for the <strong>second-hand coat, as a percentage of its original price </strong>when it was new?</p>➘➘<p>&nbsp;</p>➘➘<p>Use the slider to indicate your response, where:</p>➘➘<ul>➘	<li><b>0</b> means you wouldn&rsquo;t buy the second-hand product at any price.</li>➘	<li><b>100</b> means you would pay as much for the second-hand product as for the new product.&nbsp;</li>➘</ul>",,,,,,
QID105_Choice1,Percentage price (%),,,,,,
QID183_QuestionText,The following questions assess your <strong>feelings about germs</strong>. Please indicate how much you agree with each statement.,,,,,,De volgende vragen gaan over je <strong>gevoelens over ziekteverwekkers</strong>. Geef alsjeblieft aan in hoeverre je het eens bent met elke uitspraak.
QID184_QuestionText,It really bothers me when people sneeze without covering their mouths.,,,,,,
QID184_Choice1,Strongly disagree,,,,,,
QID184_Choice2,Disagree,,,,,,
QID184_Choice3,Somewhat disagree,,,,,,
QID184_Choice4,Neither agree nor disagree,,,,,,
QID184_Choice5,Somewhat agree,,,,,,
QID184_Choice6,Agree,,,,,,
QID184_Choice7,Strongly agree,,,,,,
QID185_QuestionText,I am comfortable sharing a water bottle with a friend.,,,,,,
QID185_Choice1,Strongly disagree,,,,,,
QID185_Choice2,Disagree,,,,,,
QID185_Choice3,Somewhat disagree,,,,,,
QID185_Choice4,Neither agree nor disagree,,,,,,
QID185_Choice5,Somewhat agree,,,,,,
QID185_Choice6,Agree,,,,,,
QID185_Choice7,Strongly agree,,,,,,
QID186_QuestionText,I do not like to write with a pencil someone else has obviously chewed on.,,,,,,
QID186_Choice1,Strongly disagree,,,,,,
QID186_Choice2,Disagree,,,,,,
QID186_Choice3,Somewhat disagree,,,,,,
QID186_Choice4,Neither agree nor disagree,,,,,,
QID186_Choice5,Somewhat agree,,,,,,
QID186_Choice6,Agree,,,,,,
QID186_Choice7,Strongly agree,,,,,,
QID187_QuestionText,I prefer to wash my hands pretty soon after shaking someone's hand.,,,,,,
QID187_Choice1,Strongly disagree,,,,,,
QID187_Choice2,Disagree,,,,,,
QID187_Choice3,Somewhat disagree,,,,,,
QID187_Choice4,Neither agree nor disagree,,,,,,
QID187_Choice5,Somewhat agree,,,,,,
QID187_Choice6,Agree,,,,,,
QID187_Choice7,Strongly agree,,,,,,
QID188_QuestionText,I dislike wearing used clothes because you do not know what the last person who wore it was like.,,,,,,
QID188_Choice1,Strongly disagree,,,,,,
QID188_Choice2,Disagree,,,,,,
QID188_Choice3,Somewhat disagree,,,,,,
QID188_Choice4,Neither agree nor disagree,,,,,,
QID188_Choice5,Somewhat agree,,,,,,
QID188_Choice6,Agree,,,,,,
QID188_Choice7,Strongly agree,,,,,,
QID189_QuestionText,My hands do not feel dirty after touching money.,,,,,,
QID189_Choice1,Strongly disagree,,,,,,
QID189_Choice2,Disagree,,,,,,
QID189_Choice3,Somewhat disagree,,,,,,
QID189_Choice4,Neither agree nor disagree,,,,,,
QID189_Choice5,Somewhat agree,,,,,,
QID189_Choice6,Agree,,,,,,
QID189_Choice7,Strongly agree,,,,,,
QID190_QuestionText,It does not make me anxious to be around sick people.,,,,,,
QID190_Choice1,Strongly disagree,,,,,,
QID190_Choice2,Disagree,,,,,,
QID190_Choice3,Somewhat disagree,,,,,,
QID190_Choice4,Neither agree nor disagree,,,,,,
QID190_Choice5,Somewhat agree,,,,,,
QID190_Choice6,Agree,,,,,,
QID190_Choice7,Strongly agree,,,,,,
QID191_QuestionText,I avoid using public telephones because of the risk that I may catch something from the previous user.,,,,,,
QID191_Choice1,Strongly disagree,,,,,,
QID191_Choice2,Disagree,,,,,,
QID191_Choice3,Somewhat disagree,,,,,,
QID191_Choice4,Neither agree nor disagree,,,,,,
QID191_Choice5,Somewhat agree,,,,,,
QID191_Choice6,Agree,,,,,,
QID191_Choice7,Strongly agree,,,,,,
QID11_QuestionText,The following questions assess your <strong>susceptibility to illness</strong>. Please indicate how much you agree with each statement.,,,,,,De volgende vragen gaan over je <strong>vatbaarheid voor ziekten</strong>. Geef alsjeblieft aan in hoeverre je het eens bent met elke uitspraak.
QID20_QuestionText,"If an illness is “going around”, I will get it. ",,,,,,
QID20_Choice1,Strongly disagree,,,,,,
QID20_Choice2,Disagree,,,,,,
QID20_Choice3,Somewhat disagree,,,,,,
QID20_Choice4,Neither agree nor disagree,,,,,,
QID20_Choice5,Somewhat agree,,,,,,
QID20_Choice6,Agree,,,,,,
QID20_Choice7,Strongly agree,,,,,,
QID21_QuestionText,My past experiences make me believe I am not likely to get sick even when my friends are sick.&nbsp;,,,,,,
QID21_Choice1,Strongly disagree,,,,,,
QID21_Choice2,Disagree,,,,,,
QID21_Choice3,Somewhat disagree,,,,,,
QID21_Choice4,Neither agree nor disagree,,,,,,
QID21_Choice5,Somewhat agree,,,,,,
QID21_Choice6,Agree,,,,,,
QID21_Choice7,Strongly agree,,,,,,
QID178_QuestionText,I have a history of susceptibility to infectious disease.,,,,,,
QID178_Choice1,Strongly disagree,,,,,,
QID178_Choice2,Disagree,,,,,,
QID178_Choice3,Somewhat disagree,,,,,,
QID178_Choice4,Neither agree nor disagree,,,,,,
QID178_Choice5,Somewhat agree,,,,,,
QID178_Choice6,Agree,,,,,,
QID178_Choice7,Strongly agree,,,,,,
QID179_QuestionText,"In general, I am very susceptible to colds, flu and other infectious diseases.",,,,,,
QID179_Choice1,Strongly disagree,,,,,,
QID179_Choice2,Disagree,,,,,,
QID179_Choice3,Somewhat disagree,,,,,,
QID179_Choice4,Neither agree nor disagree,,,,,,
QID179_Choice5,Somewhat agree,,,,,,
QID179_Choice6,Agree,,,,,,
QID179_Choice7,Strongly agree,,,,,,
QID180_QuestionText,I am more likely than the people around me to catch an infectious disease.,,,,,,
QID180_Choice1,Strongly disagree,,,,,,
QID180_Choice2,Disagree,,,,,,
QID180_Choice3,Somewhat disagree,,,,,,
QID180_Choice4,Neither agree nor disagree,,,,,,
QID180_Choice5,Somewhat agree,,,,,,
QID180_Choice6,Agree,,,,,,
QID180_Choice7,Strongly agree,,,,,,
QID182_QuestionText,"I am unlikely to catch a cold, flu or other illness, even if it is “going around”.",,,,,,
QID182_Choice1,Strongly disagree,,,,,,
QID182_Choice2,Disagree,,,,,,
QID182_Choice3,Somewhat disagree,,,,,,
QID182_Choice4,Neither agree nor disagree,,,,,,
QID182_Choice5,Somewhat agree,,,,,,
QID182_Choice6,Agree,,,,,,
QID182_Choice7,Strongly agree,,,,,,
QID181_QuestionText,My immune system protects me from most illnesses that other people get.,,,,,,
QID181_Choice1,Strongly disagree,,,,,,
QID181_Choice2,Disagree,,,,,,
QID181_Choice3,Somewhat disagree,,,,,,
QID181_Choice4,Neither agree nor disagree,,,,,,
QID181_Choice5,Somewhat agree,,,,,,
QID181_Choice6,Agree,,,,,,
QID181_Choice7,Strongly agree,,,,,,
QID299_QuestionText,"In the following task, you will be asked to <strong>evaluate and order groups of images </strong>based on your perception of how disgusting they appear.",,,,,,In de volgende taak word je gevraagd om <strong>groepen afbeeldingen te beoordelen en te rangschikken</strong> op basis van hoe walgelijk je ze vindt.
QID304_QuestionText,"Please,&nbsp;<strong>order the three pictures below</strong>&nbsp;as from the <span style=""color:#c0392b;""><strong>most disgusting</strong></span> (above) to the <span style=""color:#16a085;""><strong>least disgusting</strong></span> (below).<br>➘<br>➘<strong>Drag-and-drop the pictures</strong>&nbsp;in the order you find most appropriate.&nbsp;<br>➘<br>➘Add <strong>at least one picture</strong> in each block.<br>➘<br>➘Please note that you will repeat this task&nbsp;<strong>four times</strong>, with a different set of pictures each time.",,,,,,"Gelieve de <strong>drie onderstaande afbeeldingen te rangschikken</strong> van <span style=""color:#c0392b;""><strong>meest walgelijk</strong></span> (bovenaan) naar <span style=""color:#16a085;""><strong>minst walgelijk</strong></span> (onderaan).<br />➘<br />➘<strong>Sleep de afbeeldingen</strong> in de volgorde die jij het meest passend vindt.<br />➘<br />➘Voeg <strong>minstens één afbeelding</strong> toe aan elk blok.<br />➘<br />➘Let op: je zult deze taak <strong>vier keer</strong> herhalen, telkens met een andere set afbeeldingen."
QID337_QuestionText,<strong>Drag-and-drop the pictures</strong>&nbsp;in the order you find most appropriate.&nbsp;<br>,,,,,,<strong>Sleep de afbeeldingen</strong> in de volgorde die jij het meest passend vindt. 
QID337_Choice1,,,,,,,
QID337_Choice2,,,,,,,
QID337_Choice3,,,,,,,
QID337_Choice7,,,,,,,
QID337_Choice8,,,,,,,
QID337_Choice9,,,,,,,
QID337_Group0,Most disgusting,,,,,,
QID337_Group1,Least disgusting,,,,,,
QID338_QuestionText,<strong>Drag-and-drop the pictures</strong>&nbsp;in the order you find most appropriate.&nbsp;<br>,,,,,,<strong>Sleep de afbeeldingen</strong> in de volgorde die jij het meest passend vindt. 
QID338_Choice1,,,,,,,
QID338_Choice2,,,,,,,
QID338_Choice3,,,,,,,
QID338_Choice7,,,,,,,
QID338_Choice8,,,,,,,
QID338_Choice9,,,,,,,
QID338_Group0,Most disgusting,,,,,,<p>Meest walgelijk</p>➘
QID338_Group1,Least disgusting,,,,,,<p>Minst walgelijk</p>➘
QID339_QuestionText,<strong>Drag-and-drop the pictures</strong>&nbsp;in the order you find most appropriate.&nbsp;<br>,,,,,,<strong>Sleep de afbeeldingen</strong> in de volgorde die jij het meest passend vindt. 
QID339_Choice1,,,,,,,
QID339_Choice2,,,,,,,
QID339_Choice3,,,,,,,
QID339_Choice7,,,,,,,
QID339_Choice8,,,,,,,
QID339_Choice9,,,,,,,
QID339_Group0,Most disgusting,,,,,,<p>Meest walgelijk</p>➘
QID339_Group1,Least disgusting,,,,,,<p>Minst walgelijk</p>➘
QID340_QuestionText,<strong>Drag-and-drop the pictures</strong>&nbsp;in the order you find most appropriate.&nbsp;<br>,,,,,,<strong>Sleep de afbeeldingen</strong> in de volgorde die jij het meest passend vindt. 
QID340_Choice1,,,,,,,
QID340_Choice2,,,,,,,
QID340_Choice3,,,,,,,
QID340_Choice7,,,,,,,
QID340_Choice8,,,,,,,
QID340_Choice9,,,,,,,
QID340_Group0,Most disgusting,,,,,,<p>Meest walgelijk</p>➘
QID340_Group1,Least disgusting,,,,,,<p>Minst walgelijk</p>➘
QID202_QuestionText,"For the next task, you’ll <strong>need to have your laundry detergent nearby</strong> and ready to engage with.<br>➘<br>➘This is essential for completing the upcoming questions accurately and meaningfully.<br>➘<br>➘Please ensure you keep it close by, as it will also be necessary to refer to it again at the end of the study.<br>",,,,,,"Voor de volgende taak <strong>heb je je wasmiddel in de buurt nodig</strong> en moet je ermee kunnen omgaan.<br />➘<br />➘Dit is essentieel om de komende vragen nauwkeurig en zinvol te kunnen beantwoorden.<br />➘<br />➘Zorg ervoor dat je het bij de hand houdt, want je zult er aan het einde van het onderzoek opnieuw naar moeten verwijzen."
QID200_QuestionText,"<strong>To confirm </strong>you have your laundry detergent with you, please report➘<ul>➘	<li><strong>the exact name</strong> of the brand of the detergent, and</li>➘	<li>the&nbsp;<strong>first ingredient</strong>&nbsp;listed on the label of your laundry detergent.</li>➘</ul>➘<br>➘The answer will be checked automatically.",,,,,,"<strong>Om te bevestigen</strong> dat je je wasmiddel bij je hebt, geef alsjeblieft op:➘<ul>➘	<li><strong>de exacte merknaam</strong> van het wasmiddel, en</li>➘	<li><strong>het eerste ingrediënt</strong> dat op het etiket van je wasmiddel vermeld staat.</li>➘</ul>➘<br />➘Het antwoord wordt automatisch gecontroleerd."
QID200_Choice13,Name,,,,,,Merknaam
QID200_Choice14,First ingredient,,,,,,Eerste ingrediënt
QID212_QuestionText,"We are going to ask you some questions about the <strong>smell of your laundry detergent</strong>.&nbsp;<br>➘<br>➘If you cannot take the laundry detergent, please take <strong>another laundry/cleaning product</strong> and use it to answer the subsequent questions.<br>➘<br>➘If you cannot get any cleaning product, please indicate it below. There will be no repercussions for the payment.",,,,,,"We gaan je een aantal vragen stellen over de <strong>geur van je wasmiddel</strong>.<br />➘<br />➘Als je het wasmiddel niet kunt pakken, gebruik dan <strong>een ander was- of schoonmaakproduct</strong> om de volgende vragen te beantwoorden.<br />➘<br />➘Als je geen enkel schoonmaakproduct kunt pakken, geef dat dan hieronder aan. Dit heeft geen gevolgen voor de vergoeding."
QID212_Choice1,I confirm I have the laundry detergent with me,,,,,,Ik bevestig dat ik het wasmiddel bij me heb<br />
QID212_Choice4,"I can use another cleaning product, but not the laundry detergent",,,,,,"Ik kan een ander schoonmaakproduct gebruiken, maar niet het wasmiddel<br />"
QID212_Choice5,I cannot get any laundry/cleaning product right now,,,,,,Ik kan op dit moment geen wasmiddel of schoonmaakproduct pakken
QID214_QuestionText,"<p>You indicated that you cannot access any laundry or cleaning product right now. We kindly ask that you return to the study later, once you are able to do so. This would <strong>greatly support the quality of our research</strong>.</p>➘➘<p>&nbsp;</p>➘➘<p>However, if returning later is completely impossible, we ask you to continue anyway by&nbsp;<b>vividly imagining the scent of your usual laundry detergent</b>. Picture yourself holding the bottle or box, inhaling its fragrance as if it were right in front of you.</p>",,,,,,"<p>Je hebt aangegeven dat je op dit moment geen toegang hebt tot een was- of schoonmaakproduct. We vragen je vriendelijk om <strong>later terug te keren naar het onderzoek</strong>, zodra je dat wel kunt. Dit zou de <strong>kwaliteit van ons onderzoek aanzienlijk ondersteunen</strong>.</p>➘➘<p> </p>➘➘<p>Als het echter echt onmogelijk is om later terug te keren, vragen we je toch door te gaan door je <b>de geur van je gebruikelijke wasmiddel levendig voor te stellen</b>. Stel je voor dat je de fles of doos vasthoudt en zijn geur inademt alsof het recht voor je staat.</p>➘"
QID203_QuestionText,Please take a moment to <strong>smell your detergent</strong> and rate the <strong>pleasantness</strong> of the fragrance of your laundry product on a scale from 1 to 100.<br>➘<br>➘<br>➘<strong>1</strong> is extremely unpleasant and <strong>100</strong> is extremely pleasant.,,,,,,Neem even de tijd om aan je <strong>wasmiddel te ruiken</strong> en beoordeel de <strong>aangenaamheid</strong> van de geur van je wasproduct op een schaal van 1 tot 100.<br />➘<br />➘<br />➘<strong>1</strong> betekent extreem onaangenaam en <strong>100</strong> betekent extreem aangenaam.
QID203_Choice12,&nbsp;,,,,,,
QID203_LabelNA,I don't have a sense of smell,,,,,,Ik heb geen reukvermogen
QID336_QuestionText,"<strong>Please take a moment to <span style=""color:#1abc9c;"">smell your laundry detergent</span> again.</strong><br>➘<br>➘Now imagine encountering the second-hand clothing items you’ve just seen in an actual clothing store.<br>➘<br>➘Would this scent <strong>make these second-hand items more appealing to you</strong>?<br>➘<br>➘<em>(If you haven’t seen any pictures yet, answer thinking about second-hand clothes in general.)</em><br>➘<br>➘(<b>0</b>&nbsp;= not appealing at all, <strong>100</strong> = extremely appealing)",,,,,,"<strong>Neem even de tijd om opnieuw aan je <span style=""color:#1abc9c;"">wasmiddel te ruiken</span>.</strong><br />➘<br />➘Stel je nu voor dat je de tweedehands kledingstukken die je zojuist hebt gezien, tegenkomt in een echte kledingwinkel.<br />➘<br />➘Zou deze geur <strong>deze tweedehands kledingstukken aantrekkelijker voor je maken</strong>?<br />➘<br />➘<em>(Als je nog geen afbeeldingen hebt gezien, beantwoord de vraag dan met tweedehands kleding in het algemeen in gedachten.)</em><br />➘<br />➘(<b>0</b> = helemaal niet aantrekkelijk, <strong>100</strong> = extreem aantrekkelijk)"
QID336_Choice12,&nbsp;,,,,,,
QID351_QuestionText,"<strong>Please take a moment to <span style=""color:#1abc9c;"">smell your laundry detergent</span> again.</strong><br>➘<br>➘Now imagine encountering the second-hand clothing items you’ve just seen in an actual clothing store.<br>➘<br>➘Would this scent <strong>make these second-hand items more appealing to you</strong>?<br>➘<br>➘<em>(If you haven’t seen any pictures yet, answer thinking about second-hand clothes in general.)</em><br>➘<br>➘(<b>0</b>&nbsp;= not appealing at all, <strong>100</strong> = extremely appealing)",,,,,,
QID351_Choice12,&nbsp;,,,,,,
QID352_QuestionText,"<strong>Please take a moment to <span style=""color:#1abc9c;"">smell your laundry detergent</span> again.</strong><br>➘<br>➘Now imagine encountering the second-hand clothing items you’ve just seen in an actual clothing store.<br>➘<br>➘Would this scent <strong>make these second-hand items more appealing to you</strong>?<br>➘<br>➘<em>(If you haven’t seen any pictures yet, answer thinking about second-hand clothes in general.)</em><br>➘<br>➘(<b>0</b>&nbsp;= not appealing at all, <strong>100</strong> = extremely appealing)",,,,,,
QID352_Choice12,&nbsp;,,,,,,
QID33_QuestionText,<strong>How often</strong> do you <strong>buy second-hand clothing?</strong>,,,,,,<strong>Hoe vaak</strong> <strong>koopt u tweedehandskleding?</strong>
QID33_Choice1,0. Never,,,,,,0. Nooit
QID33_Choice2,1. Once a year or less,,,,,,1. Eenmaal per jaar of minder
QID33_Choice3,2. A few times a year,,,,,,2. Een paar keer per jaar
QID33_Choice4,3. About once every few months,,,,,,3. Ongeveer eens in de paar maanden
QID33_Choice5,4. About once a month,,,,,,4. Ongeveer een keer per maand
QID33_Choice6,5. A few times a month,,,,,,5. Een paar keer per maand
QID33_Choice7,6. Weekly or more often,,,,,,6. Wekelijks of vaker
QID36_QuestionText,How likely are you to <strong>choose second-hand clothes the next time you purchase clothing</strong>?,,,,,,"Hoe waarschijnlijk is het dat je de volgende keer dat je kleding koopt, <strong>voor tweedehands kleding kiest</strong>?"
QID36_Choice1,0. Very unlikely,,,,,,0. Zeer onwaarschijnlijk
QID36_Choice2,1,,,,,,1
QID36_Choice3,2,,,,,,2
QID36_Choice4,3,,,,,,3
QID36_Choice5,4,,,,,,4
QID36_Choice6,5,,,,,,5
QID36_Choice7,6. Very likely,,,,,,6. Zeer waarschijnlijk
QID314_QuestionText,<strong>How often</strong> do you swim across the atlantic ocean to get to work?,,,,,,<strong>Hoe vaak</strong> zwemt u over de atlantische oceaan om naar uw werk te gaan?
QID314_Choice1,0. Never,,,,,,0. Nooit
QID314_Choice2,1,,,,,,1
QID314_Choice3,2,,,,,,2
QID314_Choice4,3,,,,,,3
QID314_Choice5,4,,,,,,4
QID314_Choice6,5,,,,,,5
QID314_Choice7,6. Very often,,,,,,6. Heel vaak
QID37_QuestionText,How likely are you to <strong>recommend buying second-hand clothes</strong> to a friend or family member?,,,,,,Hoe waarschijnlijk is het dat je <strong>het kopen van tweedehands kleding aanbeveelt</strong> aan een vriend of familielid?
QID37_Choice1,0. Very unlikely,,,,,,0. Zeer onwaarschijnlijk
QID37_Choice2,1,,,,,,1
QID37_Choice3,2,,,,,,2
QID37_Choice4,3,,,,,,3
QID37_Choice5,4,,,,,,4
QID37_Choice6,5,,,,,,5
QID37_Choice7,6. Very likely,,,,,,6. Zeer waarschijnlijk
QID152_QuestionText,"<span style=""color:#000000;""><strong>Cleanliness/hygiene concerns</strong></span>",,,,,,"<span style=""font-size:medium""><span style=""font-family:Aptos, sans-serif""><span style=""color:#000000""><span style=""font-style:normal""><span style=""font-weight:400""><span style=""white-space:normal""><span style=""text-decoration:none""><b><span lang=""NL"" style=""font-family:""Times New Roman"", serif"">Zorgen over netheid/hygiëne</span></b></span></span></span></span></span></span></span>"
QID149_QuestionText,"How much do you <strong>associate</strong> second-hand clothing with <strong>concerns about&nbsp;cleanliness/hygiene</strong>? (e.g., allergens, bacteria, viruses, insects)",,,,,,"<strong>In hoeverre associeer je</strong> tweedehands kleding met <strong>zorgen over netheid/hygiëne</strong>? (bijv. allergenen, bacteriën, virussen, insecten)"
QID149_Choice9,0. Not at all,,,,,,
QID149_Choice10,1,,,,,,
QID149_Choice11,2,,,,,,
QID149_Choice12,3,,,,,,
QID149_Choice13,4,,,,,,
QID149_Choice14,5,,,,,,
QID149_Choice15,6. Very much,,,,,,
QID150_QuestionText,To what extent do concerns about cleanliness/hygiene <strong>influence your decision</strong> to purchase or avoid second-hand clothing?,,,,,,<strong>In welke mate beïnvloeden</strong> zorgen over netheid/hygiëne je beslissing om tweedehands kleding te kopen of te vermijden?
QID150_Choice9,0. Not at all,,,,,,
QID150_Choice10,1,,,,,,
QID150_Choice11,2,,,,,,
QID150_Choice12,3,,,,,,
QID150_Choice13,4,,,,,,
QID150_Choice14,5,,,,,,
QID150_Choice15,6. Very much,,,,,,
QID153_QuestionText,"<span style=""color:#000000;""><strong>Sustainability</strong></span>",,,,,,<b>Duurzaamheid</b>
QID154_QuestionText,"How much do you <strong>associate</strong> second-hand clothing with <strong>sustainability</strong>? (e.g., reduction of CO2 emissions, pollution, and waste)",,,,,,"<strong>In hoeverre associeer je</strong> tweedehands kleding met <strong>duurzaamheid</strong>? (bijv. vermindering van CO2-uitstoot, vervuiling en afval)"
QID154_Choice1,0. Not at all,,,,,,
QID154_Choice2,1,,,,,,
QID154_Choice3,2,,,,,,
QID154_Choice4,3,,,,,,
QID154_Choice5,4,,,,,,
QID154_Choice6,5,,,,,,
QID154_Choice7,6. Very much,,,,,,
QID155_QuestionText,To what extent does sustainability&nbsp;<strong>influence your decision</strong> to purchase or avoid second-hand clothing?,,,,,,<strong>In welke mate beïnvloedt</strong> duurzaamheid je beslissing om tweedehands kleding te kopen of te vermijden?
QID155_Choice9,0. Not at all,,,,,,
QID155_Choice10,1,,,,,,
QID155_Choice11,2,,,,,,
QID155_Choice12,3,,,,,,
QID155_Choice13,4,,,,,,
QID155_Choice14,5,,,,,,
QID155_Choice15,6. Very much,,,,,,
QID169_QuestionText,"<span style=""color:#000000;""><b>Economic convenience</b></span>",,,,,,"<span style=""font-size:medium""><span style=""font-family:Aptos, sans-serif""><span style=""color:#000000""><span style=""font-style:normal""><span style=""font-weight:400""><span style=""white-space:normal""><span style=""text-decoration:none""><b><span lang=""NL"" style=""font-family:""Times New Roman"", serif"">Economisch gemak</span></b></span></span></span></span></span></span></span>"
QID157_QuestionText,"How much do you <strong>associate</strong> second-hand clothing with <strong>economic convenience</strong>?&nbsp;(e.g., affordable prices, cost savings, bargains)",,,,,,"<strong>In hoeverre associeer je</strong> tweedehands kleding met <strong>economisch gemak</strong>? (bijv. betaalbare prijzen, kostenbesparingen, koopjes)"
QID157_Choice1,0. Not at all,,,,,,
QID157_Choice2,1,,,,,,
QID157_Choice3,2,,,,,,
QID157_Choice4,3,,,,,,
QID157_Choice5,4,,,,,,
QID157_Choice6,5,,,,,,
QID157_Choice7,6. Very much,,,,,,
QID161_QuestionText,To what extent does economic convenience&nbsp;<strong>influence your decision</strong> to purchase or avoid second-hand clothing?,,,,,,<strong>In welke mate beïnvloedt</strong> economisch gemak je beslissing om tweedehands kleding te kopen of te vermijden?
QID161_Choice9,0. Not at all,,,,,,
QID161_Choice10,1,,,,,,
QID161_Choice11,2,,,,,,
QID161_Choice12,3,,,,,,
QID161_Choice13,4,,,,,,
QID161_Choice14,5,,,,,,
QID161_Choice15,6. Very much,,,,,,
QID170_QuestionText,"<span style=""color:#000000;""><b>Quality concerns</b></span>",,,,,,<b>Kwaliteitszorgen</b>
QID172_QuestionText,"How much do you <strong>associate</strong> second-hand clothing with <strong>quality</strong>&nbsp;<strong>concerns</strong>? (e.g., wear and tear, fading, damaged fabric, missing buttons or zippers)",,,,,,"<strong>In hoeverre associeer je</strong> tweedehands kleding met <strong>kwaliteitszorgen</strong>? (bijv. slijtage, vervaging, beschadigde stof, ontbrekende knopen of ritsen)"
QID172_Choice1,0. Not at all,,,,,,
QID172_Choice2,1,,,,,,
QID172_Choice3,2,,,,,,
QID172_Choice4,3,,,,,,
